study,within_r_temp
Study6,-0.0294375611218829
Study6,0.0956405569516035
Study6,0.0546599692368116
Study6,0.0395292367845146
Study6,0.201237168077573
Study6,0.0551129094635778
Study6,-0.0912166366512533
Study6,0.189712626483538
Study6,-0.0517197523867758
Study6,0.0419581815820242
Study6,0.0502516844274049
Study6,0.261194453530628
Study6,0.110939991417845
Study7,0.0379091041917208
Study7,0.19160032595588
Study7,0.147933627422476
Study7,0.478649689170624
Study7,0.462546652176899
Study7,0.385138692753426
Study7,0.335724726271279
Study7,0.155699336556298
Study7,0.32914179434507
Study7,0.242141234761076
Study7,0.12127032942353
Study7,0.267633685151937
Study7,0.23665492427341
Study7,0.240741631883303
Study7,0.507317050606731
Study7,0.431418588556979
Study7,0.33467522849568
Study7,0.0376283258227205
Study7,0.56872035289204
Study7,0.206280925646294
