study,nps,pain
Study3,2.05691523466896,4.04677092466282
Study3,1.54365669519413,0.967569549803241
Study3,1.03016893709849,3.77292456071743
Study3,3.15009369621148,4.64565282395618
Study3,0.869630354060469,1.66443317562721
Study3,2.25715550909362,4.64125620799337
Study3,6.46245161786315,2.66968800485914
Study3,3.71348408641841,3.12756415003191
Study3,2.06184942184897,2.8088094948099
Study3,3.78211155216216,3.09270526666425
Study3,2.60211201170418,4.01002777725893
Study3,8.93905342121383,3.41585653793368
Study3,3.87984474605668,3.61810087092716
Study3,3.66272035057291,4.28041965725071
Study3,5.79762550559498,5.05610832590571
Study3,2.10535797024041,2.8892047576251
Study3,2.22316267076649,2.63734147334681
Study3,3.55749191835247,2.70486093239019
Study3,2.36699040459115,5.4898030835079
Study3,2.12977576120473,3.39910453393511
Study3,2.41237082297819,2.7796034032392
Study3,1.88628292814446,3.55058141192608
Study3,2.83465781326221,3.07229240699245
Study3,1.30430788224938,2.36851981329912
Study3,3.05555226898889,3.59234926334346
Study3,2.57988133104962,2.62967879988084
Study3,-0.663314443461231,7.94685638550535
Study3,2.37265309037409,1.64496244791787
Study3,1.65480661980501,1.72472962271356
Study3,1.53989830602038,4.57617731938704
Study3,2.68807796594259,2.77028676475238
Study3,1.56478989444354,4.08288598418081
Study3,3.33273051758718,1.991876381511
Study3,4.03833092075382,2.77332252337821
Study3,1.60873299322119,4.26429873208491
Study3,2.8477037313522,3.02141727972431
Study3,1.16333424652533,2.56730966244587
Study3,1.54171318194668,2.02024502236306
Study3,2.1122411968961,3.57539088762972
Study3,1.75304310671444,4.90599529607686
Study3,2.54298792216019,4.28158610642851
Study3,1.48327331252486,3.57633301961221
Study3,0.685562706737718,2.07394654559203
Study3,4.06798535624684,2.07112014970913
Study3,4.26664797842837,2.68287785270527
Study3,1.91352338459775,2.02589781433593
Study3,2.49389051612202,1.36138072007995
Study3,1.06167188757251,3.61778682693968
Study3,2.03631195245783,2.65869646499665
Study3,1.43957227795354,1.94613063951797
Study3,2.88818950050836,1.41916481520631
Study3,1.75664322974394,2.63420103336065
Study3,4.01905833276631,5.48132389564991
Study3,1.40947434144949,3.46578953316812
Study3,4.10990094651281,3.37848530248802
Study3,3.78102907884093,2.75730627954899
Study3,0.587799140840464,3.42464976981255
Study3,2.70369096325087,5.74983151173461
Study4,1.68799288166731,18.2165828001232
Study4,4.01382009918583,17.2076255137946
Study4,0.780597594748621,14.837007485202
Study4,-0.609371022075004,15.8922143930688
Study4,0.335106486467973,14.339846569115
Study4,2.18091638194254,17.1430817286663
Study4,0.512080021979904,15.3369908882417
Study4,1.98295927212608,17.2205221143801
Study4,2.59064861504376,17.1333022273882
Study4,0.974279356190925,15.0018457633916
Study4,1.3066648507449,16.2817175925335
Study4,-0.342559929997657,13.7604807205322
Study4,0.978727640468126,16.3671986259564
Study4,1.01908327480298,15.7756668025753
Study4,3.07210678159799,17.9447168247204
Study4,2.55558734000681,16.7181950391387
Study4,2.37562042694593,16.0963406816081
Study5,3.9218562154456,3.64595086530195
Study5,3.75399639773542,3.32123464762936
Study5,3.24963985938992,3.5989380795681
Study5,3.48343079147239,1.77418600094209
Study5,1.11697273963639,2.98093861137146
Study5,6.06699335533876,3.05391776132014
Study5,3.66653503816399,1.37266401115012
Study5,4.71046217909774,1.00995490271109
Study5,4.12554950148412,5.72462665285291
Study5,4.62004566305694,2.74806132390322
Study5,3.85637187037679,4.62501946117623
Study5,3.54134514896244,3.16270316084897
Study5,1.19800890494069,1.33166448878637
Study5,5.3567442494522,4.71275843909419
Study5,4.34303161192654,3.41088693663267
Study5,2.19143344053128,2.60565631594772
Study5,3.3102087443928,1.83841858605544
Study5,3.47732246912576,1.97590365138404
Study5,3.04038616718999,4.56898678040772
Study5,4.43943137362109,2.02045646575032
Study5,3.98934976904446,1.10562045504843
Study5,3.95872309041743,3.88374809542826
Study5,1.23068104994346,2.67535550408663
Study5,3.30649431055365,2.17078804803008
Study5,4.68488192479988,2.34435269296268
Study5,-2.28475520693776,3.55001198281449
Study5,2.65772756016625,2.28941333287997
Study5,4.1511790291854,3.92884757013744
Study5,2.42623510772382,1.35271091030048
Study5,3.00041847332637,5.96816381616476
Study5,3.94800610495757,6.05016286097426
Study5,3.34466874094067,2.43810493432454
Study5,3.18056355432917,1.98629019702831
Study5,4.12660367847228,2.72646824212984
Study5,5.1605884613002,3.3914804960669
Study5,2.59930635741884,2.50179085913927
Study5,3.98842004640896,4.72341831499355
Study5,3.15862199904785,1.94665732534633
Study5,4.60544414328002,4.70346521398648
Study5,3.48154373336091,2.48648437076805
Study5,5.70918181729677,3.57461169624422
Study5,5.94069751584279,4.80213739802445
Study5,3.82143457479115,3.03888460305477
Study5,3.22431989601642,3.63693097034929
Study5,2.45821203328893,2.22846070955014
Study5,3.00245037976811,4.49983425259039
Study5,2.73474019321215,3.29772825473291
Study5,4.11193393117987,2.39546543097309
Study5,2.64132208873799,3.51939900603925
Study5,7.71383699386251,3.83618864942858
Study6,3.13146092159975,3.57041049650822
Study6,1.60037743183185,2.70494574135051
Study6,1.55650215571329,3.16796129434634
Study6,1.16846443109256,3.36812495728449
Study6,1.2671158373585,2.66549711917891
Study6,2.09265394344188,3.49000109330648
Study6,1.99324102577021,5.15763289916481
Study6,3.80075441567222,5.7026706500779
Study6,1.29920854025742,2.94312099605728
Study6,0.321637897705179,1.61527832238523
Study6,3.00878663463972,4.55997107864268
Study6,0.87858509348622,0.707199999869393
Study6,2.71478591885237,4.30910774758178
Study6,4.99992006322807,3.50551644677473
Study6,0.895482394491487,5.81954041822119
Study6,0.844463743568278,4.3816745296533
Study6,3.59061909509444,3.4606033987303
Study6,1.38748206627246,5.2815268977914
Study6,1.04998568338341,3.37926737043622
Study7,-0.892356283469231,3.3922290138721
Study7,0.789213613420419,4.97231688874098
Study7,2.49127958876108,2.10265056891184
Study7,3.51369811080236,4.7296352308295
Study7,1.08130015055947,2.80058176027769
Study7,1.33040076946114,4.39838362477515
Study7,2.2009505919438,2.80589595716627
Study7,1.64893495890911,3.4170285993521
Study7,0.676847228285513,5.35848186264391
Study7,2.10331974076861,3.17434694144062
Study7,0.532627652504944,4.71192124120093
Study7,2.31031968780017,6.19989637000122
Study7,0.197693736519878,2.97417885863773
Study7,3.49426568728739,4.50289616358374
Study7,2.79310067809985,2.00168082802897
Study7,3.33615935779313,4.66940766609235
Study7,2.94133008119035,2.56675709718051
Study7,1.7564099794207,2.58092828888337
Study7,3.70934919983231,5.76236082617542
Study7,2.60381126319353,2.44098777081762
Study7,0.859920338722988,4.23718631915512
Study7,1.92713045263429,3.96261947991221
