study,nps,pain
ie,2.19143344043878,2.60565631594078
ie,3.31020874433951,1.83841858605055
ie,3.47732246905227,1.97590365137878
ie,3.04038616722195,4.56898678039556
ie,4.43943137365683,2.02045646574494
ie,3.98934976905498,1.10562045504548
ie,3.9587230903416,3.88374809541792
ie,1.23068104997896,2.67535550407951
ie,3.30649431063651,2.1707880480243
ie,4.6848819248215,2.34435269295644
ie,-2.28475520694849,3.55001198280504
ie,2.65772756019279,2.28941333287387
ie,4.15117902921996,3.92884757012699
ie,2.42623510781837,1.35271091029688
ie,3.00041847342263,5.9681638161434
ie,3.94800610496772,6.05016286101829
ie,3.34466874084969,2.43810493427979
ie,3.18056355435539,1.9862901970192
ie,4.12660367834964,2.72646824208979
ie,5.16058846129549,3.39148049602507
ie,2.59930635740282,2.50179085913261
ie,3.98842004626871,4.72341831494272
ie,3.15862199891769,1.94665732532967
ie,4.60544414324535,4.70346521402316
ie,3.48154373343498,2.48648437075597
ie,5.70918181729496,3.57461169624564
ie,5.94069751575543,4.8021373980226
ie,3.82143457471136,3.03888460306308
ie,3.22431989589917,3.63693097035055
ie,2.45821203321699,2.22846070954968
ie,3.00245037977142,4.49983425258388
ie,2.73474019326365,3.29772825471812
ie,4.11193393118017,2.39546543094485
ie,2.64132208869595,3.51939900602988
ie,7.71383699389112,3.83618864939651
ie2,3.1314609215956,3.57041049650822
ie2,1.60037743180011,2.70494574135051
ie2,1.55650215566312,3.16796129434634
ie2,1.16846443102046,3.36812495728449
ie2,1.2671158373848,2.66549711917891
ie2,2.0926539434292,3.49000109330648
ie2,1.9932410257686,5.15763289916481
ie2,3.80075441559136,5.7026706500779
ie2,1.29920854022922,2.94312099605728
ie2,0.321637897714006,1.61527832238523
ie2,3.00878663457123,4.55997107864268
ie2,0.878585093515596,0.707199999869393
ie2,2.71478591881807,4.30910774758178
ie2,4.99992006335685,3.50551644677473
ie2,0.895482394345349,5.81954041822119
ie2,0.844463743586805,4.3816745296533
ie2,3.59061909495692,3.4606033987303
ie2,1.38748206626441,5.2815268977914
ie2,1.04998568334684,3.37926737043622
ilcp,-0.892356283575797,3.3922290138721
ilcp,0.789213613672352,4.97231688874098
ilcp,2.49127958885675,2.10265056891184
ilcp,3.51369811081419,4.7296352308295
ilcp,1.08130015064012,2.80058176027769
ilcp,1.33040076947421,4.39838362477515
ilcp,2.20095059195229,2.80589595716627
ilcp,1.64893495897237,3.4170285993521
ilcp,0.676847228316388,5.35848186264391
ilcp,2.10331974074461,3.17434694144062
ilcp,0.532627652519715,4.71192124120093
ilcp,2.31031968788167,6.19989637000122
ilcp,0.197693736546952,2.97417885863773
ilcp,3.49426568734588,4.50289616358374
ilcp,2.79310067799792,2.00168082802897
ilcp,3.33615935794518,4.66940766609235
ilcp,2.9413300812837,2.56675709718051
ilcp,1.75640997956019,2.58092828888337
ilcp,3.70934919995879,5.76236082617542
ilcp,2.60381126323359,2.44098777081762
ilcp,0.859920338637411,4.23718631915512
ilcp,1.92713045271682,3.96261947991221
ilcp,0.761949840364908,4.39129802892372
ilcp,3.44268704115114,4.27792849530084
ilcp,1.11881110305042,4.55603813246947
ilcp,2.9882667631465,3.59062569771214
ilcp,1.16016173739678,6.0422418623069
ilcp,3.1536306303347,4.94574590429812
ilcp,2.82752294695257,5.12642859850958
scebl,1.18602365281622,1.19165317129886
scebl,2.39007995061894,0.836690810841494
scebl,1.41338442198882,4.09377794658532
scebl,3.17036165290419,1.77821820380348
scebl,1.7722624228124,3.00299544230674
scebl,3.4507918291756,3.68220970960421
scebl,3.96189130778106,0.71763464232608
