study,within_r_pain
bmrk5pain_xc,0.562259640231977
bmrk5pain_xc,0.0458912975063435
bmrk5pain_xc,-0.196444623576771
bmrk5pain_xc,0.446409509687283
bmrk5pain_xc,0.176935217313028
bmrk5pain_xc,0.265449094862617
bmrk5pain_xc,0.419178520152054
bmrk5pain_xc,0.533708062842743
bmrk5pain_xc,0.380900239510571
bmrk5pain_xc,0.613894932449433
bmrk5pain_xc,0.370302290286673
bmrk5pain_xc,-0.131262269705477
bmrk5pain_xc,0.222765714274803
bmrk5pain_xc,0.66655748960652
bmrk5pain_xc,0.188702692659282
bmrk5pain_xc,0.080080909673632
bmrk5pain_xc,0.395367060395936
bmrk5pain_xc,-0.0907478166986679
bmrk5pain_xc,0.0925562605555777
bmrk5pain_xc,0.0351026040441748
bmrk5pain_xc,-0.00670706425994958
bmrk5pain_xc,0.137497334382153
bmrk5pain_xc,0.356664893311727
bmrk5pain_xc,-0.323972880587376
bmrk5pain_xc,0.0517329383227119
bmrk5pain_xc,0.0479684705112929
bmrk5pain_xc,0.0725969565916585
bmrk5pain_xc,-0.0330400272372681
bmrk5pain_xc,0.290048104051969
bmrk5pain_xc,0.362290794717455
bmrk5pain_xc,0.356779527514971
bmrk5pain_xc,0.50661382657644
bmrk5pain_xc,0.856712423131076
bmrk5pain_xc,0.117513178733751
bmrk5pain_xc,-0.00910314130183713
bmrk5pain_xc,-0.117626269110003
bmrk5pain_xc,0.105940409337294
bmrk5pain_xc,-0.103889212694364
bmrk5pain_xc,0.17531243434266
bmrk5pain_xc,0.18020728992964
bmrk5pain_xc,0.300588748238591
bmrk5pain_xc,-0.0727480309469355
bmrk5pain_xc,-0.156510925610143
bmrk5pain_xc,0.483725102437844
bmrk5pain_xc,0.142365695651132
bmrk5pain_xc,0.369978712292496
bmrk5pain_xc,0.534904547502382
bmrk5pain_xc,0.442963066421188
bmrk5pain_xc,0.0918707624599812
bmrk5pain_xc,0.356043520624838
bmrk5pain_xc,0.373954699536932
bmrk5pain_xc,0.392624682805173
bmrk5pain_xc,0.343789586438088
bmrk5pain_xc,0.254343034894344
bmrk5pain_xc,-0.0083947477060835
bmrk5pain_xc,0.170960595487555
bmrk5pain_xc,0.0787258400502796
bmrk5pain_xc,0.603019922297444
bmrk5pain_xc,0.286281511675527
bmrk5pain_xc,0.433449542291816
bmrk5pain_xc,0.433325589065777
bmrk5pain_xc,0.354205438732691
bmrk5pain_xc,-0.0013449870960771
bmrk5pain_xc,0.720335447405813
bmrk5pain_xc,0.492815493839958
bmrk5pain_xc,0.51242261581557
bmrk5pain_xc,0.209894923727915
bmrk5pain_xc,0.167947589189015
bmrk5pain_xc,-0.191364784790875
bmrk5pain_xc,0.555003233761449
bmrk5pain_xc,0.451606326695772
bmrk5pain_xc,0.328073709972078
bmrk5pain_xc,0.1364470164763
bmrk5pain_xc,0.177024645628064
bmrk5pain_xc,0.31353887357584
bmrk5pain_xc,0.242883667534117
bmrk5pain_xc,0.349798123609023
bmrk5pain_xc,0.255368051830545
bmrk5pain_xc,0.0580694867198477
bmrk5pain_xc,0.25871137287213
bmrk5pain_xc,0.0667740115997174
bmrk5pain_xc,0.17076326700921
bmrk5pain_xc,0.40627416966127
bmrk5pain_xc,0.308059624136914
bmrk5pain_xc,0.343671400775526
exp,0.562828036789519
exp,0.555708455858113
exp,0.391987198397721
exp,0.210511706634713
exp,0.397535686396728
exp,0.466270404489695
exp,0.148600360999171
exp,0.261073925209392
exp,0.439303641727198
exp,0.335875435060718
exp,-0.163800761592638
exp,0.502341668077167
exp,-0.0655625803413599
exp,0.436196815488469
exp,0.227450081318946
exp,0.544353060901978
exp,0.475484742028116
ie,0.5510455615564
ie,0.341090801756508
ie,0.457595251743107
ie,0.399925577957203
ie,0.467390733192053
ie,0.579644637875308
ie,0.715033518884685
ie,0.257770715414294
ie,0.452033492160494
ie,0.631550895984605
ie,0.0271287309267929
ie,0.324859168159622
ie,0.186061983293062
ie,0.616765214742756
ie,0.096865800511357
ie,0.431447691495985
ie,0.575281162285673
ie,0.517011168247409
ie,0.420133929645698
ie,0.504041655883456
ie,0.33430751834803
ie,0.327439663980195
ie,0.221899917541949
ie,0.618959401411665
ie,0.10866564658567
ie,0.189584924089233
ie,0.292476475338264
ie,0.422956651330233
ie,0.321187388555081
ie,0.390169186006646
ie,0.146156184613428
ie,0.248799425175014
