Study1,Study2,Study3,Study4,Study5,Study6,Study7,Study8,mean,se
0.834420229743653,0.817178152521249,0,0.717950129024001,0.877321931069348,0.846799257710391,0.812019772416248,0.526355626373027,0.780084039577983,0.0430163996693024
0.841100185653284,0.815070947739248,0,0.713084718920503,0,0.860109042882866,0.853025267503143,0.543276954904336,0.768345446766895,0.0474073462691002
0.834464829662055,0.816014699147284,0,0.708049815084932,0,0.868660393260564,0.877616023768376,0.602007260790701,0.783403804050591,0.0413395970149671
0.807411133381593,0.813155982117912,0,0.677262169594567,0,0.860126561457152,0.855741874749019,0.603599593707073,0.769136101730119,0.0401061336086691
0.795436884201168,0.818903256275821,0,0.685122125974719,0,0.85132126898978,0.851394173189243,0.617722151600001,0.770203292334891,0.0371571828003423
0,0.83438820785109,0,0.708019894957136,0,0.841071133668972,0.847780765419086,0.633511144334855,0.774858444278983,0.0392436051598478
0,0.829444174314986,0,0.743688085497702,0,0.833930926861598,0.848136618662881,0.640630125642564,0.780134917666832,0.0357592838051017
0,0.818880772466883,0,0.629403112908831,0,0.822761956598268,0.870950380815339,0.617185035200483,0.756938702180534,0.0476993012759342
0,0.818661423140895,0,0,0,0.842295688881168,0.876163608882094,0.634674256145429,0.792439064163969,0.0472651215610539
0,0.820723814567249,0,0,0,0.867796722140267,0,0.619829206259312,0.763617631802835,0.0622911946830754
0,0.827976178272462,0,0,0,0.864241640455633,0,0.59208286289881,0.752952325126938,0.0704017788017138
0,0.852032933747161,0,0,0,0.885136686391885,0,0.615855168086435,0.770450395904875,0.0702757729186595
0,0.8794007279075,0,0,0,0,0,0.628262890291756,0.748590655739027,0.0887132562868387
0,0.862068810709661,0,0,0,0,0,0.6231678008857,0.73479463624799,0.0842828965997978
0,0.830592767434642,0,0,0,0,0,0.64375537950992,0.722830941317307,0.065273757903227
0,0.82317731573516,0,0,0,0,0,0.672024707571444,0.731594298354584,0.0522281670559388
0,0,0,0,0,0,0,0.67271252463504,0.67271252463504,0
0,0,0,0,0,0,0,0.684685722140496,0.684685722140496,0
0,0,0,0,0,0,0,0.673182454247382,0.673182454247382,0
0,0,0,0,0,0,0,0.678126346716809,0.678126346716809,0
0,0,0,0,0,0,0,0.684430555943436,0.684430555943436,0
0,0,0,0,0,0,0,0.695885215206542,0.695885215206542,0
0,0,0,0,0,0,0,0.697202263294643,0.697202263294643,0
0,0,0,0,0,0,0,0.723825941946039,0.723825941946039,0
0,0,0,0,0,0,0,0.736141878423347,0.736141878423347,0
